Date,Open,High,Low,Close,Volume
1/3/17,27.0924,27.2199,26.8422,27.1761,118566653.9
1/4/17,27.1053,27.2629,27.0824,27.1462,87708543.29
1/5/17,27.1223,27.3426,27.0954,27.2867,92732044.45
1/6/17,27.3247,27.6476,27.2529,27.5858,132167526.3
1/9/17,27.5948,27.9457,27.5918,27.8381,135221858.4
1/10/17,27.7862,27.9338,27.6796,27.868,90550436.31
1/11/17,27.7783,28.0575,27.7474,28.0175,113037224.3
1/12/17,27.8142,27.9139,27.6576,27.9039,113993790.1
1/13/17,27.868,27.9877,27.7962,27.851,108547445.1
1/17/17,27.6896,28.1302,27.6596,28.0753,136451373.2
1/18/17,28.0753,28.19,28.0075,28.0733,96499038.64
1/19/17,27.9378,28.0973,27.9308,28.0255,101909420.3
1/20/17,28.1771,28.1771,28.0155,28.0753,121449548.6
1/23/17,28.0753,28.2668,28.0235,28.0973,83180115.62
1/24/17,27.9707,28.1003,27.9607,28.0673,96564217.85
1/25/17,28.1701,28.5669,28.1401,28.516,135371747.2
1/26/17,28.4632,28.6466,28.4502,28.529,108376120.1
1/27/17,28.5768,28.6267,28.4502,28.532,85992524.98
1/30/17,28.2927,28.4532,28.2299,28.4532,127126911.1
1/31/17,28.3446,28.4004,28.2199,28.3934,170583673.5
2/1/17,29.7184,30.5309,29.7124,30.1211,471284046.8
2/2/17,29.9416,30.2707,29.8948,30.0753,137313849
2/3/17,30.0214,30.2228,29.9896,30.1949,104748823.7
2/6/17,30.2079,30.5329,30.156,30.489,111621182.2
2/7/17,30.5428,30.8987,30.5229,30.7702,154881643.6
2/8/17,30.7332,30.9317,30.7004,30.8858,91735706.64
2/9/17,30.9317,31.1241,30.802,31.1201,102285850
2/10/17,31.1301,31.2397,31.0303,31.0473,82225880.85
2/13/17,31.2716,31.4411,31.1968,31.3244,94108862.27
2/14/17,31.3644,31.7431,31.3145,31.7253,132181973.3
2/15/17,31.8459,32.0203,31.6335,31.8429,143129857.1
2/16/17,31.8827,31.9306,31.6833,31.8059,91659159.87
2/17/17,31.7451,31.9157,31.7451,31.8937,89909004.76
2/21/17,32.0104,32.137,31.9505,32.124,93339666.19
2/22/17,32.0602,32.2227,31.9824,32.2198,74887038.88
2/23/17,32.2815,32.3015,32.0283,32.0752,79190113.27
2/24/17,31.9336,32.115,31.7901,32.115,90342536.1
2/27/17,32.2247,32.2915,32.0223,32.1758,81443774.51
2/28/17,32.2128,32.2915,32.124,32.1898,90007085.01
3/1/17,32.4012,32.9326,32.3314,32.8508,148952701
3/2/17,32.8966,32.9644,32.6015,32.6494,108811209.2
3/3/17,32.6065,32.8588,32.5637,32.8488,85030661.01
3/6/17,32.7461,32.8468,32.5637,32.7411,80622173.07
3/7/17,32.6733,32.8906,32.6095,32.785,71017213.98
3/8/17,32.6464,32.8508,32.6165,32.6594,76475799.2
3/9/17,32.5965,32.6095,32.2058,32.5836,87730817.02
3/10/17,32.7212,32.7431,32.5737,32.6933,78680978.02
3/13/17,32.6993,32.7631,32.6165,32.7092,74142232.97
3/14/17,32.7332,32.8169,32.6195,32.6564,65151345.24
3/15/17,32.7591,33.0741,32.6634,33.0073,109337435.4
3/16/17,33.0661,33.1359,32.9584,33.0592,81846320.63
3/17/17,33.1319,33.1319,32.8708,32.8936,161464826.6
3/20/17,32.9934,33.2475,32.9515,33.2407,91677244.87
3/21/17,33.3971,33.5536,32.8368,32.8608,168228893.7
3/22/17,32.8608,33.2705,32.8438,33.2307,110054051.6
3/23/17,33.1937,33.2645,33.0422,33.112,86588506.32
3/24/17,33.2475,33.3045,32.9804,33.0492,91161862.62
3/27/17,32.7531,33.1838,32.5697,33.102,94560707.3
3/28/17,33.109,33.8468,33.0442,33.7899,139402003.9
3/29/17,33.76,33.9525,33.6444,33.8627,119385270.3
3/30/17,33.8797,33.9545,33.7182,33.8198,79588641.17
3/31/17,33.77,33.8996,33.6045,33.755,79977263.94
4/3/17,33.767,33.8627,33.6144,33.765,85053934.79
4/4/17,33.6584,34.0481,33.6384,34.0183,82688542.78
4/5/17,33.8867,34.1787,33.7929,33.8428,114974527.5
4/6/17,33.9046,33.9595,33.7062,33.755,86380023.34
4/7/17,33.773,33.8767,33.6614,33.6782,70952491.16
4/10/17,33.7401,33.8069,33.5776,33.6384,71011163.58
4/11/17,33.5876,33.6812,32.9096,33.2775,129286625.7
4/12/17,33.2705,33.4041,33.1339,33.3203,84603490.01
4/13/17,33.3473,33.4589,33.1439,33.1439,72952299.46
4/17/17,33.2426,33.3403,33.099,33.3273,66496161.74
4/18/17,33.2277,33.3802,33.1589,33.1788,59852764.58
4/19/17,33.3403,33.3702,33.0053,33.0562,70301241.75
4/20/17,33.1838,33.5826,33.1689,33.4719,95281209.3
4/21/17,33.4719,33.5268,33.3323,33.434,70773600.17
4/24/17,33.7182,33.8248,33.6414,33.75,72851650.39
4/25/17,33.8149,34.0511,33.8049,33.9624,79463066.3
4/26/17,33.9465,33.9793,33.6882,33.76,85186760.7
4/27/17,33.8168,33.8727,33.6713,33.787,60463987.27
4/28/17,33.8567,33.9066,33.6614,33.753,88776191.94
5/1/17,34.094,34.5935,34.0631,34.444,142682410.4
5/2/17,34.6723,34.7949,34.5058,34.6643,189093832.7
5/3/17,34.2087,34.6593,33.8996,34.5606,194102367.4
5/4/17,34.428,34.5805,34.2585,34.431,99355672.49
5/5/17,34.4878,35.0082,34.4878,35.0032,116299606
5/8/17,35.0182,36.1149,35.0182,35.9534,207186857.5
5/9/17,36.1577,36.389,36.055,36.1876,166109781.6
5/10/17,36.0989,36.1747,35.739,36.0102,109715356.7
5/11/17,35.9703,36.3481,35.9354,36.3212,115447308.2
5/12/17,36.4967,36.9114,36.4887,36.8317,137449809.4
5/15/17,36.8117,36.9623,36.5844,36.736,109834263.2
5/16/17,36.7938,36.8237,36.5016,36.6841,84748886.15
5/17/17,36.2445,36.4678,35.3223,35.4509,214793505.8
5/18/17,35.6891,36.1827,35.6612,35.9932,142270248.1
5/19/17,36.1926,36.3292,36.0102,36.1139,113960102.7
5/22/17,36.3331,36.4698,36.077,36.3312,97201537.9
5/23/17,36.5466,36.5466,36.1747,36.2943,84378988.32
5/24/17,36.3023,36.3711,36.0201,36.1827,81403693.63
5/25/17,36.2773,36.4169,36.1059,36.3093,81455126.03
5/26/17,36.3331,36.389,36.1747,36.2475,92783607.25
5/30/17,36.2025,36.4369,36.1807,36.2623,85269235.5
5/31/17,36.3262,36.3711,35.9534,36.0401,103649620.1
6/1/17,36.1407,36.1807,35.9154,36.1427,69441094.1
6/2/17,36.2425,36.6812,36.073,36.6812,117417247.6
6/5/17,36.4139,36.4408,36.2125,36.3193,107162455.4
6/6/17,36.3113,36.7628,36.2903,36.4408,112711785.6
6/7/17,36.5764,36.8037,36.4458,36.6612,89089416.44
6/8/17,36.6312,36.701,36.4289,36.5684,89624610.93
6/9/17,36.6164,36.6164,34.4539,35.1488,274589906
6/12/17,34.3872,34.4708,33.6214,34.3094,306013078
6/13/17,34.7221,34.7879,34.2466,34.5935,144509405.2
6/14/17,34.7999,34.7999,33.9365,34.2466,133318141.3
6/15/17,33.8149,34.09,33.5536,34.0481,134193029.8
6/16/17,33.9245,34.094,33.5506,33.5676,213046963.7
6/19/17,33.8946,34.6274,33.8946,34.5307,137600143.6
6/20/17,34.6563,34.6563,34.1967,34.2136,105473623.8
6/21/17,34.3352,34.4658,34.1189,34.418,90129418.02
6/22/17,34.395,34.6204,34.2386,34.3622,80891594.37
6/23/17,34.2406,34.7221,34.2366,34.5157,150134143.7
6/26/17,34.7241,34.9863,34.2994,34.406,108834616.4
6/27/17,34.2136,34.4878,33.8847,33.9125,104817666.1
6/28/17,34.092,34.4758,33.777,34.408,93478930.68
6/29/17,34.1409,34.2406,33.5696,33.8996,133311903.3
6/30/17,34.0821,34.2007,33.9245,33.9823,97497043.52
7/3/17,34.1807,34.2794,33.763,33.8567,60512981.26
7/5/17,33.9026,34.1608,33.6742,33.9983,91339215.94
7/6/17,33.7431,33.8567,33.6015,33.6742,102187069.6
7/7/17,33.7162,34.1508,33.7162,34.0213,79336071.12
7/10/17,34.0033,34.436,33.8268,34.2266,89345282.51
7/11/17,34.1469,34.414,34.0681,34.3372,83589959.93
7/12/17,34.418,34.4908,34.1688,34.3872,105377382.1
7/13/17,34.3293,35.0332,34.3154,34.8647,106301406
7/14/17,34.9115,35.2355,34.7609,35.1648,85261694.57
7/17/17,35.109,35.6084,35.0531,35.2904,100745490.8
7/18/17,35.2046,35.4219,35.076,35.412,75654187.73
7/19/17,35.5037,35.727,35.3791,35.6343,88624489.62
7/20/17,35.744,35.8018,35.4349,35.4718,72899629.29
7/21/17,35.3891,35.4937,35.1248,35.4539,106469879.4
7/24/17,35.5297,35.9673,35.3691,35.8866,90991645
7/25/17,35.8168,36.3023,35.8168,36.0371,79806207.77
7/26/17,36.1847,36.3193,36.1139,36.2125,66686106.35
7/27/17,36.2823,36.3312,34.7529,35.5237,137463258.3
7/28/17,35.3661,35.4449,35.2016,35.2774,72881916.43
