Quarterly market share of smartphone vendors in the U.S. 2016-2024,,,,,,,,,,,
,,,,,,,,,,,
Quarter,Apple,Samsung,LG,Motorola/Lenovo,ZTE,Other,Alcatel,OnePlus,hmd,Google,
Q1 '16,33,29,14,0,7,17,0,0,0,0,in %
Q2 '16,30,30,14,0,9,17,0,0,0,0,in %
Q3 '16,34,26,13,0,8,19,0,0,0,0,in %
Q4 '16,39,20,12,0,10,19,0,0,0,0,in %
Q1 '17,33,23,18,0,10,16,0,0,0,0,in %
Q2 '17,29,32,15,0,11,13,0,0,0,0,in %
Q3 '17,34,24,17,0,11,14,0,0,0,0,in %
Q4 '17,45,20,14,0,10,11,0,0,0,0,in %
Q1 '18,37,26,14,4,11,8,0,0,0,0,in %
Q2 '18,40,25,16,5,0,14,0,0,0,0,in %
Q3 '18,39,25,17,8,0,11,0,0,0,0,in %
Q4 '18,47,22,12,6,0,13,0,0,0,0,in %
Q1 '19,39,28,11,8,0,14,0,0,0,0,in %
Q2 '19,41,21,13,8,0,17,0,0,0,0,in %
Q3 '19,42,25,12,0,0,13,8,0,0,0,in %
Q4 '19,49,20,9,0,0,14,8,0,0,0,in %
Q1 '20,46,32,10,0,0,8,4,0,0,0,in %
Q2 '20,46,25,12,0,0,10,7,0,0,0,in %
Q3 '20,40,30,13,0,0,10,7,0,0,0,in %
Q4 '20,65,16,9,0,0,7,3,0,0,0,in %
Q1 '21,55,27,7,0,0,5,0,0,0,0,in %
Q2 '21,53,26,3,0,0,6,0,0,0,0,in %
Q3 '21,47,34,0,9,0,7,0,3,0,1,in %
Q4 '21,56,22,0,12,0,8,0,2,0,2,in %
Q1 '22,50,24,0,11,0,13,0,2,0,2,in %
Q2 '22,48,30,0,9,0,12,0,1,0,1,in %
Q3 '22,50,24,0,6,0,16,0,0,0,4,in %
Q4 '22,57,20,0,6,0,12,0,0,1,5,in %
Q1 '23,52,27,0,8,0,11,0,0,1,2,in %
Q2 '23,55,23,0,9,0,10,0,0,2,3,in %
Q3 '23,53,25,0,11,0,9,0,0,2,0,in %
Q4 '23,62,17,0,9,0,10,0,0,2,0,in %
Q1 '24,52,31,0,9,0,6,0,0,2,0,in %
